TESS_time TESS_flux TESS_fluxerr
2.459124585377154872e+06 9.980745694710174698e-01 2.537998164337927458e-03
2.459124586766053457e+06 1.002457123279065332e+00 2.545907229847404162e-03
2.459124588154952042e+06 9.972342421416020564e-01 2.537441625140825045e-03
2.459124589543851092e+06 1.001286300902083148e+00 2.540443602118214964e-03
2.459124590932749677e+06 9.963545792090385822e-01 2.535960840127420620e-03
2.459124592321648262e+06 1.000659344364823511e+00 2.541305658064480725e-03
2.459124593710546382e+06 1.000481579323266645e+00 2.538937641900478742e-03
2.459124595099444967e+06 9.985040104028815033e-01 2.538412217458011107e-03
2.459124596488343552e+06 1.001416303135035157e+00 2.539917271394898351e-03
2.459124597877242602e+06 1.002006467395038625e+00 2.541360109330729252e-03
2.459124599266141187e+06 1.002867261309829061e+00 2.541715801087961538e-03
2.459124600655039772e+06 9.996055309168488945e-01 2.539693702384048912e-03
2.459124602043938357e+06 9.975801434880108287e-01 2.537222870848747282e-03
2.459124603432836477e+06 9.989584371043668254e-01 2.537938759540607058e-03
2.459124604821735062e+06 1.002173314542186500e+00 2.540384967757215642e-03
2.459124606210633647e+06 9.976213494474703847e-01 2.537192183513963754e-03
2.459124607599532232e+06 9.992204929206426334e-01 2.540867294456106238e-03
2.459124608988431282e+06 9.984935099899214794e-01 2.538695936180140455e-03
2.459124610377329867e+06 1.000456422521206479e+00 2.539451892049316220e-03
2.459124611766227987e+06 9.959806515163446283e-01 2.535831056883388300e-03
2.459124613155126572e+06 9.974603828352950341e-01 2.537200511218465435e-03
2.459124614544025157e+06 1.005268907431465575e+00 2.543119012156629371e-03
2.459124615932923742e+06 1.002544552584788473e+00 2.540646552225916607e-03
2.459124617321822327e+06 1.001635669586179889e+00 2.541548245846732106e-03
2.459124618710720912e+06 9.980029163442731832e-01 2.539231654679147132e-03
2.459124620099619497e+06 1.001333992914630322e+00 2.540859648427067161e-03
2.459124621488517616e+06 1.000547404588390421e+00 2.538358954621149598e-03
2.459124622877416201e+06 1.000102495689761950e+00 2.538514076766060484e-03
2.459124624266314786e+06 9.952234418314633846e-01 2.534444933767446458e-03
2.459124625655213371e+06 1.002403094940615080e+00 2.542232625665059430e-03
2.459124627044111956e+06 1.000276711860261125e+00 2.540133892897657696e-03
2.459124628433010541e+06 9.998122690410774505e-01 2.537934994659770283e-03
2.459124629821908660e+06 1.002652996205092739e+00 2.543218861348533599e-03
2.459124631210807245e+06 9.998020980020327908e-01 2.537463912824905726e-03
2.459124632599705830e+06 1.007260639516737832e+00 2.544066786988212654e-03
2.459124633988604415e+06 1.000627897292728941e+00 2.538365544877027070e-03
2.459124635377503000e+06 9.985390788382264571e-01 2.537911773066945428e-03
2.459124636766401585e+06 1.001801661966092327e+00 2.542959993657486172e-03
2.459124638155300170e+06 9.961877525034411596e-01 2.535447105542674995e-03
2.459124639544198290e+06 9.994319880258526467e-01 2.539538352198601051e-03
2.459124640933096875e+06 1.003314747686785191e+00 2.542637317830211303e-03
2.459124642321995459e+06 9.991382806638611225e-01 2.536719224911556606e-03
2.459124643710894044e+06 9.982376217380413141e-01 2.540353219454697005e-03
2.459124645099792629e+06 1.004149089436240150e+00 2.541482761401800405e-03
2.459124646488691214e+06 9.990584679179617122e-01 2.536446013692457684e-03
2.459124647877589334e+06 9.955324407849031054e-01 2.535353109856355088e-03
2.459124649266487919e+06 9.956178086902532920e-01 2.536456653772096656e-03
2.459124650655386504e+06 1.001733671106942225e+00 2.541869638727641944e-03
2.459124652044285089e+06 1.001345623265493812e+00 2.541152688015108508e-03
2.459124653433183674e+06 9.996534416754048191e-01 2.538763435072732919e-03
2.459124654822081793e+06 1.002641483303734038e+00 2.541656251327616047e-03
2.459124656210980378e+06 9.994639684718190642e-01 2.539371327996701750e-03
2.459124657599878497e+06 9.982506755742808213e-01 2.537610368525594629e-03
2.459124658988777082e+06 9.971483328545319713e-01 2.537480639569183148e-03
2.459124660377675667e+06 1.002206248841747804e+00 2.538930132052459685e-03
2.459124661766574252e+06 9.970463750823991278e-01 2.538912478305929959e-03
2.459124663155472837e+06 9.994909331712134026e-01 2.539746415859094400e-03
2.459124664544371422e+06 1.004371080911561798e+00 2.540753972402257869e-03
2.459124665933269542e+06 1.000274436874200035e+00 2.538200298241028233e-03
2.459124667322167661e+06 9.985525543852517005e-01 2.539238473087714054e-03
2.459124668711066246e+06 1.005484047289788796e+00 2.544463488133731199e-03
2.459124670099964831e+06 9.998221046273670920e-01 2.539690448420109901e-03
2.459124671488863416e+06 9.978294101279520101e-01 2.537424992083742777e-03
2.459124672877762001e+06 9.985748399371034978e-01 2.539548210561745969e-03
2.459124674266660120e+06 9.997303162471850024e-01 2.540628683606767184e-03
2.459124675655558240e+06 1.001354577776427890e+00 2.539889257228813806e-03
2.459124677044456825e+06 9.950180994890850394e-01 2.535080346149927184e-03
2.459124678433355410e+06 9.985683558404110371e-01 2.539250532292109102e-03
2.459124679822253995e+06 9.974760442978778396e-01 2.539726087065165370e-03
2.459124681211152114e+06 1.002256215313215071e+00 2.541108052836810703e-03
2.459124682600050699e+06 9.981364929592296820e-01 2.536873031639745764e-03
2.459124683988949284e+06 1.002044276557514824e+00 2.542497257159701419e-03
2.459124685377847403e+06 1.000612624821387353e+00 2.539275829642665024e-03
2.459124686766745523e+06 1.002733347061618430e+00 2.542358650512248439e-03
2.459124688155644108e+06 1.000632159673270571e+00 2.539985686172896960e-03
2.459124689544542693e+06 9.951545209785772617e-01 2.536505087364938297e-03
2.459124690933441278e+06 9.932924045056277240e-01 2.536429709789567600e-03
2.459124692322339397e+06 9.996672270418771600e-01 2.538995283910059578e-03
2.459124693711237516e+06 1.002721312352815142e+00 2.540922955051782162e-03
2.459124695100136101e+06 9.995355618958441379e-01 2.538214430677963353e-03
2.459124696489034221e+06 9.984257806418653791e-01 2.537603930758165673e-03
2.459124697877932806e+06 9.944515658555840298e-01 2.534138886054819809e-03
2.459124699266831391e+06 1.000062018333475633e+00 2.539601781334461812e-03
2.459124700655729976e+06 1.000585932234040243e+00 2.540579135607452625e-03
2.459124702044628095e+06 1.001377319145659417e+00 2.539965825766284709e-03
2.459124703433526214e+06 9.979355127729860886e-01 2.538607652291057122e-03
2.459124704822424799e+06 9.977293119005532507e-01 2.538828561610076938e-03
2.459124706211322919e+06 9.994576811312239073e-01 2.537795543210691080e-03
2.459124707600221504e+06 1.002705306873296509e+00 2.540728107794530156e-03
2.459124708989120089e+06 9.999497551920415450e-01 2.543229435188145218e-03
2.459124710378018208e+06 1.003507894435071268e+00 2.541332861143793739e-03
2.459124711766916327e+06 1.004350086563511324e+00 2.544497168094985145e-03
2.459124713155814447e+06 9.995027703226406768e-01 2.539545527759592795e-03
2.459124714544713032e+06 1.001457970449203039e+00 2.539641571810831791e-03
2.459124715933611616e+06 9.945968791037398393e-01 2.535463050969937859e-03
2.459124717322509736e+06 9.986249827888683539e-01 2.538632770533231272e-03
2.459124718711408321e+06 9.925917495979383887e-01 2.531213758756607063e-03
2.459124720100306906e+06 9.978541091261178275e-01 2.539965212485613671e-03
2.459124721489204559e+06 1.003058398600200407e+00 2.544202857989961812e-03
2.459124722878103144e+06 1.006908358292615713e+00 2.544056542216707999e-03
2.459124724267001264e+06 1.002306068583930232e+00 2.540380860845072378e-03
2.459124725655899849e+06 9.969206438561305506e-01 2.539044689234650973e-03
2.459124727044797968e+06 9.969385827159383817e-01 2.537534463357461918e-03
2.459124728433696553e+06 9.989083842260049195e-01 2.540189124138912246e-03
2.459124729822594672e+06 1.004496465991959298e+00 2.541852492455321140e-03
2.459124731211492792e+06 9.987986596852977961e-01 2.537813695523789478e-03
2.459124732600391377e+06 1.000436418775494385e+00 2.541256644547779282e-03
2.459124733989289496e+06 1.000738220782206200e+00 2.539910249206047983e-03
2.459124735378188081e+06 1.000489871790342988e+00 2.541219843480543601e-03
2.459124736767086200e+06 1.003335842239951869e+00 2.542484413417632396e-03
